Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-109,201902,162,42,2,49.67,0,46.0361,1.2481,2.2535,1.4439,1.2579,1.7628,1.3319,4/26/2021,
2019-110,201902,162,42,2,54.7,0,65.6728,1.2632,2.8115,1.4879,1.2559,2.0673,1.3786,4/26/2021,
2019-111,201902,162,42,2,51.82,0,49.8102,1.2658,1.7773,1.3755,1.2557,1.7028,1.3233,4/26/2021,
2019-112,201902,162,42,2,51.02,0,48.5955,1.2821,1.7182,1.3992,1.278,1.8398,1.3611,4/26/2021,
2019-113,201902,162,19,2,54.18,0,59.1011,1.2615,1.7917,1.4752,1.2564,1.8027,1.3709,4/27/2021,R9
2019-114,201902,162,19,2,64.06,0,115.6,1.3092,1.8934,1.459,1.313,1.9155,1.4386,4/27/2021,R9
2019-115,201902,162,19,2,67.22,0,112.9,1.3101,2.6019,1.6747,1.308,2.227,1.4959,4/27/2021,R9
2019-116,201902,162,19,2,65.6,0,112.3,1.3166,2.2902,1.6058,1.322,2.4111,1.5221,4/27/2021,R9
2019-117,201902,162,19,2,62.09,0,102.5,1.3133,2.3255,1.5586,1.3144,2.1522,1.4621,4/27/2021,R9
2019-118,201902,162,19,2,53.56,0,63.2936,1.3122,2.2027,1.5699,1.3055,2.0513,1.4582,4/27/2021,R9
2019-119,201902,162,19,2,56.68,0,73.6,1.3246,2.6339,1.7295,1.3024,1.9843,1.4345,4/27/2021,R9
2019-12,201901,162,177,2,54.64,0,52.4,1.2685,2.0314,1.4646,1.2779,2.0462,1.4471,3/18/2021,R23
2019-120,201902,162,49,2,59.58,0,82.8,1.3214,2.0241,1.532,1.3102,1.8874,1.412,4/27/2021,R9
2019-121,201902,162,49,2,53.26,0,55.2422,1.3092,2.2761,1.6361,1.3103,1.868,1.4089,4/27/2021,R8
2019-122,201902,162,49,2,53.51,0,56.8053,1.313,2.3245,1.5712,1.3243,1.8258,1.4087,4/27/2021,R8
2019-123,201902,162,49,2,56.51,0,62.9536,1.3225,2.2987,1.5864,1.325,1.9552,1.4312,4/27/2021,R8
2019-124,201902,162,49,2,56.63,0,67.778,1.3075,2.1621,1.5424,1.3059,2.157,1.4633,4/27/2021,R8
2019-125,201902,162,49,2,59.99,0,73.8921,1.3246,2.2792,1.5859,1.3226,2.3611,1.4689,4/27/2021,R8
2019-126,201902,162,49,2,55.59,0,61.4264,1.3949,2.2299,1.5471,1.3207,1.873,1.4023,4/27/2021,R8
2019-127,201902,162,18,2,50.97,0,56.0893,1.3165,1.8038,1.4694,1.3192,1.8223,1.4239,4/29/2021,R9
2019-128,201902,162,18,2,51.1,0,46.3949,1.3317,2.2036,1.5851,1.3181,1.863,1.4402,4/29/2021,R9
2019-129,201902,162,18,2,60.58,0,90.1665,1.3093,2.1707,1.5243,1.3111,1.9688,1.4466,4/29/2021,R9
2019-130,201902,162,33,2,54.18,0,67.048,1.3158,1.7151,1.4693,1.3205,1.8563,1.4362,4/29/2021,R9
2019-131,201902,162,33,2,55.15,0,58.3616,1.3167,2.109,1.6538,1.3172,1.8161,1.4299,4/29/2021,R9
2019-132,201902,162,33,2,49.98,0,44.2089,1.3209,2.0471,1.6317,1.3219,1.8451,1.436,4/29/2021,R9
2019-133,201902,162,2,2,57.21,0,63.6367,1.3123,2.0791,1.4952,1.3167,1.8916,1.4076,5/5/2021,R12
2019-134,201902,162,2,2,55.51,0,57.0061,1.2952,2.1514,1.5082,1.3239,1.9559,1.4275,5/5/2021,R12
2019-135,201902,162,2,2,56.16,0,57.9997,1.3228,2.0889,1.5205,1.3152,1.8202,1.4006,5/5/2021,R12
2019-136,201902,162,2,2,58.07,0,65.7349,1.3112,2.0124,1.5561,1.3212,1.7629,1.4018,5/5/2021,R12
2019-137,201902,162,2,2,59.29,0,64.9228,1.3197,2.3544,1.5255,1.3075,1.9064,1.3989,5/5/2021,R12
2019-138,201902,162,2,2,55.81,0,54.8645,1.3114,1.9959,1.4854,1.3137,1.7261,1.3845,5/5/2021,R12
2019-139,201902,162,2,2,60.71,0,74.3903,1.324,1.9082,1.4691,1.3298,2.0362,1.4397,5/7/2021,
2019-140,201902,162,2,2,57.33,0,60.4988,1.2145,2.143,1.5339,1.3128,1.8266,1.4094,5/7/2021,
